FORMAT,COMMAND,OP_BINARY,OP_DECIMAL,FUNC_BINARY,FUNC_DECIMAL
I-Format,addi,001000,8,000000,0
I-Format,addiu,001001,9,000000,0
I-Format,andi,001100,12,000000,0
I-Format,beq,000100,4,000000,0
I-Format,bne,000101,5,000000,0
I-Format,lbu,100100,36,000000,0
I-Format,lhu,100101,37,000000,0
I-Format,ll,110000,48,000000,0
I-Format,lui,001111,15,000000,0
I-Format,lw,100011,35,000000,0
I-Format,ori,001101,13,000000,0
I-Format,slti,001010,10,000000,0
I-Format,sltiu,001011,11,000000,0
I-Format,sb,101000,40,000000,0
I-Format,sc,111000,56,000000,0
I-Format,sh,101001,41,000000,0
I-Format,sw,101011,43,000000,0
R-Format,add,000000,0,100000,32
R-Format,addu,000000,0,100001,33
R-Format,and,000000,0,100100,36
R-Format,jr,000000,0,001000,8
R-Format,nor,000000,0,100111,39
R-Format,or,000000,0,100101,37
R-Format,slt,000000,0,101010,42
R-Format,sltu,000000,0,101011,43
R-Format,sll,000000,0,000000,0
R-Format,srl,000000,0,000010,2
R-Format,sub,000000,0,100010,34
J-Format,j,000010,2,000000,0
J-Format,jal,000011,3,000000,0
R-Format,sra,000000,0,000011,3
I-Format,xori,001110,14,000000,0
